Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,HybridPresent,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,13.2881,NA,3.41750000000000,6.94320000000000,0.12970000000000,0.15520000000000,6.4132,10.0391,3.3787,3.2490,0.1297,0.0000,3.4309,0.1979,3.2330,NA,10.0391,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,13.8180,NA,6.88520000000000,6.97200000000000,0.07240000000000,0.32670000000000,12.8553,6.9901,6.9003,6.8279,0.0724,6.9415,0.2131,0.2131,0.0000,NA,6.9901,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,20.1783,NA,6.89020000000000,6.97200000000000,0.11870000000000,0.09900000000000,6.4950,13.4178,6.8792,6.7605,0.1187,0.0255,6.8340,0.0871,6.7469,-3.5933,13.4178,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,20.3788,NA,6.56080000000000,6.92150000000000,0.15360000000000,0.33490000000000,13.2160,13.8904,6.6420,6.4884,0.1536,6.6247,0.1986,0.1986,0.0000,-0.0212,13.8904,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,27.2225,NA,7.04420000000000,6.92150000000000,0.11030000000000,0.09410000000000,6.3723,20.2970,7.0358,6.9255,0.1103,0.0000,7.0393,0.1937,6.8456,-0.0423,20.2970,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,27.3441,NA,6.96530000000000,6.93440000000000,0.05600000000000,0.40280000000000,13.1851,20.5324,6.8677,6.8117,0.0560,7.0188,0.1957,0.1957,0.0000,-0.2924,20.5324,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,34.9030,NA,7.55890000000000,NA,0.06660000000000,0.43040000000000,NA,27.4001,7.5695,7.5029,0.0666,7.6744,0.2589,0.2589,0.0000,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,41.1168,NA,6.21380000000000,NA,0.05920000000000,0.52100000000000,NA,34.9696,6.2064,6.1472,0.0592,6.3182,0.3500,0.2088,0.1412,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,48.0995,NA,6.98270000000000,NA,0.04870000000000,0.39840000000000,NA,41.1760,6.9722,6.9235,0.0487,7.1256,0.1963,0.1963,0.0000,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,55.0771,NA,6.97760000000000,NA,0.04810000000000,0.32490000000000,NA,48.1482,6.9770,6.9289,0.0481,7.1642,0.0896,0.0896,0.0000,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,61.9820,NA,6.90490000000000,NA,0.04050000000000,0.28670000000000,NA,55.1252,6.8973,6.8568,0.0405,7.0557,0.0878,0.0878,0.0000,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,68.8560,NA,6.87400000000000,NA,0.04070000000000,0.20910000000000,NA,62.0225,6.8742,6.8335,0.0407,6.9526,0.0900,0.0900,0.0000,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,76.0142,NA,7.15820000000000,NA,0.04640000000000,0.45430000000000,NA,68.8967,7.1639,7.1175,0.0464,7.3723,0.1995,0.1995,0.0000,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,83.2218,NA,7.20760000000000,NA,0.06430000000000,0.32780000000000,NA,76.0606,7.2255,7.1612,0.0643,7.3295,0.1595,0.1371,0.0224,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,90.9930,NA,7.77120000000000,NA,0.07730000000000,0.38560000000000,NA,83.2861,7.7842,7.7069,0.0773,7.8915,0.2010,0.1217,0.0793,NA,NA,NA,NA,NA
msedgewebview2.exe,19228,0x143EDC84C90,DXGI,0,0,0,Composed: Flip,0,75.8729,NA,69.35530000000000,NA,0.06240000000000,0.38490000000000,NA,6.6130,69.3223,69.2599,0.0624,69.4534,0.1914,0.1914,0.0000,NA,NA,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,34.0926,NA,6.87010000000000,6.93440000000000,0.16890000000000,0.16380000000000,6.4366,27.3328,6.9287,6.7598,0.1689,0.0000,6.9398,0.2041,6.7357,0.1014,27.3328,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,97.7210,NA,6.72800000000000,69.45230000000001,0.06290000000000,0.35980000000000,12.2605,91.0703,6.7136,6.6507,0.0629,6.8572,0.1533,0.1139,0.0394,1.0856,91.0703,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,105.0436,NA,70.95100000000001,69.45230000000001,0.28770000000000,0.41640000000000,4.9379,34.2615,71.0698,70.7821,0.2877,0.0000,71.2036,0.4044,70.7992,-62.5236,34.2615,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,104.8528,NA,7.13180000000000,6.99170000000000,0.09610000000000,0.59940000000000,12.1204,97.7839,7.1650,7.0689,0.0961,7.2272,0.4411,0.3434,0.0977,-0.2781,97.7839,NA,NA,NA
msedgewebview2.exe,19228,0x143EDC84C90,DXGI,0,0,0,Composed: Flip,0,110.9259,NA,35.05300000000000,NA,0.10230000000000,0.42490000000000,NA,75.9353,35.0929,34.9906,0.1023,35.1839,0.2316,0.2202,0.0114,NA,NA,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,110.6949,NA,5.65130000000000,6.99170000000000,0.21970000000000,0.21560000000000,6.2783,105.3313,5.5833,5.3636,0.2197,0.1287,5.4505,0.1928,5.2577,64.0781,105.3313,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,111.8549,NA,7.00210000000000,6.89230000000000,0.07330000000000,0.33580000000000,12.0106,104.9489,6.9793,6.9060,0.0733,7.0413,0.2005,0.2005,0.0000,0.2727,104.9489,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,117.4345,NA,6.73960000000000,6.89230000000000,0.14240000000000,0.12280000000000,6.4310,110.9146,6.6623,6.5199,0.1424,0.0000,6.6468,0.1534,6.4934,-1.3090,110.9146,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,118.2902,NA,6.43530000000000,6.95250000000000,0.05350000000000,0.29940000000000,12.5278,111.9282,6.4155,6.3620,0.0535,6.4634,0.1980,0.1980,0.0000,0.0268,111.9282,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,124.2380,NA,6.80350000000000,6.95250000000000,0.10600000000000,0.09320000000000,6.5800,117.5769,6.7671,6.6611,0.1060,0.0000,6.7739,0.2244,6.5495,-0.2902,117.5769,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,125.4174,NA,7.12720000000000,6.94320000000000,0.05490000000000,0.30060000000000,12.3438,118.3437,7.1286,7.0737,0.0549,7.1724,0.2019,0.2019,0.0000,-0.5277,118.3437,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,131.4894,NA,7.25140000000000,6.94320000000000,0.23020000000000,0.16420000000000,6.2718,124.3440,7.3756,7.1454,0.2302,0.0000,7.3224,0.2428,7.0796,-0.1761,124.3440,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,132.5389,NA,7.12150000000000,7.04050000000000,0.07830000000000,0.36050000000000,12.2628,125.4723,7.1449,7.0666,0.0783,7.2253,0.2018,0.2018,0.0000,0.0881,125.4723,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,138.3048,NA,6.81540000000000,7.04050000000000,0.18810000000000,0.13150000000000,6.4969,131.7196,6.7733,6.5852,0.1881,0.0000,6.7827,0.1898,6.5929,0.3351,131.7196,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,138.6785,NA,6.13960000000000,6.85600000000000,0.07790000000000,0.39620000000000,12.9792,132.6172,6.1392,6.0613,0.0779,6.2042,0.2533,0.2196,0.0337,0.2889,132.6172,NA,NA,NA
msedgewebview2.exe,19228,0x143EDC84C90,DXGI,0,0,0,Composed: Flip,0,145.6471,NA,34.72120000000000,NA,0.10120000000000,0.37370000000000,NA,111.0282,34.7201,34.6189,0.1012,34.8018,0.1908,0.1908,0.0000,NA,NA,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,145.3984,NA,7.09360000000000,6.85600000000000,0.22800000000000,0.17730000000000,6.2593,138.4929,7.1335,6.9055,0.2280,0.0000,7.1394,0.1944,6.9450,-0.0827,138.4929,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,145.8807,NA,7.20220000000000,7.06270000000000,0.07760000000000,0.35170000000000,12.8397,138.7564,7.2019,7.1243,0.0776,7.2773,0.1987,0.1987,0.0000,-0.9235,138.7564,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,152.3946,NA,6.99620000000000,7.06270000000000,0.23640000000000,0.17320000000000,6.3258,145.6264,7.0046,6.7682,0.2364,0.0000,6.9921,0.2005,6.7916,0.0708,145.6264,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,152.8834,NA,7.00270000000000,6.81240000000000,0.09500000000000,0.41210000000000,12.6494,145.9583,7.0201,6.9251,0.0950,7.0929,0.2443,0.2324,0.0119,0.3895,145.9583,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,159.8076,NA,6.92420000000000,NA,0.09000000000000,0.38470000000000,NA,152.9784,6.9192,6.8292,0.0900,6.9985,0.2154,0.2154,0.0000,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,166.4350,NA,6.62740000000000,NA,0.08190000000000,0.40110000000000,NA,159.8976,6.6193,6.5374,0.0819,0.3332,6.6053,0.1636,6.4417,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,173.3356,NA,6.90060000000000,NA,0.08550000000000,0.41240000000000,NA,166.5169,6.9042,6.8187,0.0855,7.0670,0.1641,0.1238,0.0403,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,180.4632,NA,7.12760000000000,NA,0.06980000000000,0.75660000000000,NA,173.4211,7.1119,7.0421,0.0698,7.3677,0.4310,0.2898,0.1412,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,187.2007,NA,6.73750000000000,NA,0.05770000000000,0.35420000000000,NA,180.5330,6.7254,6.6677,0.0577,6.8247,0.1972,0.1477,0.0495,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,194.0278,NA,6.82710000000000,NA,0.06790000000000,0.35150000000000,NA,187.2584,6.8373,6.7694,0.0679,6.9289,0.1920,0.1353,0.0567,NA,NA,NA,NA,NA
