Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,HybridPresent,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,94.6675,NA,6.87970000000000,NA,0.10610000000000,0.44740000000000,NA,88.9134,5.8602,5.7541,0.1061,6.0055,0.1960,0.1960,0.0000,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,100.4333,NA,5.76580000000000,NA,0.10420000000000,0.75410000000000,NA,94.7736,5.7639,5.6597,0.1042,5.9782,0.4356,0.1364,0.2992,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,107.2484,NA,6.81510000000000,NA,0.10810000000000,0.46750000000000,NA,100.5375,6.8190,6.7109,0.1081,6.9113,0.2671,0.1292,0.1379,NA,NA,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,113.8287,NA,6.58030000000000,NA,0.07100000000000,0.37870000000000,NA,107.3565,6.5432,6.4722,0.0710,6.6380,0.2129,0.1214,0.0915,NA,NA,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,93.2461,NA,55.95880000000000,55.54070000000000,0.39860000000000,0.27810000000000,5.9207,37.4792,56.1655,55.7669,0.3986,0.0000,56.0815,0.2316,55.8499,NA,37.4792,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,120.7113,NA,6.88260000000000,34.71010000000000,0.07430000000000,0.39780000000000,13.1656,113.8997,6.8859,6.8116,0.0743,0.3514,6.8580,0.1564,6.7016,NA,113.8997,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,128.8499,NA,35.60380000000000,34.71010000000000,0.15730000000000,0.12030000000000,5.0270,93.6447,35.3625,35.2052,0.1573,0.0000,35.4460,0.2523,35.1937,21.4554,93.6447,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,128.0956,NA,7.38430000000000,6.99000000000000,0.07590000000000,0.34340000000000,12.7713,120.7856,7.3859,7.3100,0.0759,7.4950,0.1584,0.1545,0.0039,-0.1041,120.7856,NA,NA,NA
dwm.exe,2212,0x21EB54DDA20,DXGI,1,0,0,Hardware: Legacy Flip,0,134.3793,NA,5.52940000000000,6.99000000000000,0.16260000000000,0.11600000000000,6.4876,129.0072,5.5347,5.3721,0.1626,0.0000,5.5251,0.2193,5.3058,28.3725,129.0072,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,134.7113,NA,6.61570000000000,6.93540000000000,0.07170000000000,0.26500000000000,13.0910,128.1715,6.6115,6.5398,0.0717,6.6223,0.1825,0.1825,0.0000,0.4505,128.1715,NA,NA,NA
