Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,HybridPresent,TimeInMs,MsBetweenSimulationStart,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,CPUStartTimeInMs,MsBetweenAppStart,MsCPUBusy,MsCPUWait,MsGPULatency,MsGPUTime,MsGPUBusy,MsGPUWait,MsAnimationError,AnimationTime,MsFlipDelay,MsAllInputToPhotonLatency,MsClickToPhotonLatency
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,9.8478,NA,6.90730000000000,6.95020000000000,0.17240000000000,0.14690000000000,13.3556,3.1207,6.8995,6.7271,0.1724,0.0000,6.8950,0.1288,6.7662,NA,3.1207,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,11.3318,NA,6.95080000000000,6.92950000000000,0.08740000000000,0.40740000000000,18.8011,4.4631,6.9561,6.8687,0.0874,7.0589,0.2172,0.2172,0.0000,NA,4.4631,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,16.7882,NA,6.94040000000000,6.92950000000000,0.17680000000000,0.15490000000000,13.3447,10.0202,6.9448,6.7680,0.1768,0.0000,6.9484,0.2000,6.7484,-0.0300,10.0202,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,18.1451,NA,6.81330000000000,6.94630000000000,0.07970000000000,0.40720000000000,18.9341,11.4192,6.8056,6.7259,0.0797,6.9171,0.2160,0.2160,0.0000,0.0098,11.4192,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,23.7299,NA,6.94170000000000,6.94630000000000,0.18360000000000,0.18010000000000,13.3493,16.9650,6.9485,6.7649,0.1836,0.0000,6.9669,0.1990,6.7679,-0.0015,16.9650,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,24.8892,NA,6.74410000000000,6.94650000000000,0.07330000000000,0.39820000000000,19.1365,18.2248,6.7377,6.6644,0.0733,6.8487,0.2139,0.2139,0.0000,-0.1409,18.2248,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,30.6107,NA,6.88080000000000,6.94650000000000,0.19410000000000,0.20960000000000,13.4150,23.9135,6.8913,6.6972,0.1941,0.0000,6.9103,0.2049,6.7054,0.0020,23.9135,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,31.8135,NA,6.92430000000000,6.94430000000000,0.06310000000000,0.32460000000000,19.1565,24.9625,6.9141,6.8510,0.0631,6.9595,0.2161,0.2161,0.0000,-0.2066,24.9625,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,37.5975,NA,6.98680000000000,6.94430000000000,0.13380000000000,0.12950000000000,13.3725,30.8048,6.9265,6.7927,0.1338,0.0155,6.9067,0.1855,6.7212,-0.0530,30.8048,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,38.8922,NA,7.07870000000000,6.98600000000000,0.05840000000000,0.20530000000000,19.0638,31.8766,7.0740,7.0156,0.0584,7.0081,0.2128,0.2128,0.0000,-0.0719,31.8766,NA,NA,NA
dwm.exe,2212,0x21EAF7BB3B0,DXGI,1,0,0,Hardware: Legacy Flip,0,44.6212,NA,7.02370000000000,6.98600000000000,0.20280000000000,0.17340000000000,13.3348,37.7313,7.0927,6.8899,0.2028,0.0000,7.0676,0.2032,6.8644,-0.0595,37.7313,NA,NA,NA
claude.exe,26980,0x135713CA0E0,DXGI,0,0,0,Composed: Flip,0,46.0227,NA,7.13050000000000,6.95350000000000,0.07040000000000,0.36480000000000,18.8868,38.9506,7.1425,7.0721,0.0704,7.2203,0.2166,0.2166,0.0000,0.1205,38.9506,NA,NA,NA
